L4 | Wed Jan 26 14:59:26 2022 (700 ms) | general | New game starting up
L4 | Wed Jan 26 14:59:26 2022 (701 ms) | general | Target game image size:  1280x720

L4 | Wed Jan 26 14:59:26 2022 (701 ms) | general | Ideal window dimensions:  1280x720

L4 | Wed Jan 26 14:59:26 2022 (701 ms) | general | Trying to start in fullscreen mode.
L4 | Wed Jan 26 14:59:26 2022 (701 ms) | general | The following frame rates are considered possible:
L4 | Wed Jan 26 14:59:26 2022 (702 ms) | general | 30 fps
L4 | Wed Jan 26 14:59:26 2022 (702 ms) | general | 60 fps
L4 | Wed Jan 26 14:59:26 2022 (702 ms) | general | 100 fps
L4 | Wed Jan 26 14:59:26 2022 (702 ms) | general | 120 fps
L4 | Wed Jan 26 14:59:26 2022 (702 ms) | general | 144 fps
L4 | Wed Jan 26 14:59:26 2022 (703 ms) | general | Setting real (not borderless) fullscreen mode
L4 | Wed Jan 26 14:59:26 2022 (703 ms) | general | Current screen configuration is 1360x768 with aspect ratio 1.77
L4 | Wed Jan 26 14:59:26 2022 (703 ms) | general | Sticking with user's current screen resolution
L4 | Wed Jan 26 14:59:26 2022 (703 ms) | general | Checking if requested video mode (1360x768) is available
L4 | Wed Jan 26 14:59:26 2022 (703 ms) | general | Available video modes:
L5 | Wed Jan 26 14:59:26 2022 (703 ms) | general |    1366 x 768

L4 | Wed Jan 26 14:59:26 2022 (703 ms) | general |    ^^^^ this mode matches current aspect ratio
L5 | Wed Jan 26 14:59:26 2022 (703 ms) | general |    1360 x 768

L4 | Wed Jan 26 14:59:26 2022 (703 ms) | general |    ^^^^ this mode matches current aspect ratio
L4 | Wed Jan 26 14:59:26 2022 (703 ms) | general |    ^^^^ this mode matches requested mode
L5 | Wed Jan 26 14:59:26 2022 (703 ms) | general |    1280 x 720

L4 | Wed Jan 26 14:59:26 2022 (703 ms) | general |    ^^^^ this mode matches current aspect ratio
L5 | Wed Jan 26 14:59:26 2022 (703 ms) | general |    1024 x 768

L5 | Wed Jan 26 14:59:26 2022 (703 ms) | general |    1024 x 576

L4 | Wed Jan 26 14:59:26 2022 (703 ms) | general |    ^^^^ this mode matches current aspect ratio
L5 | Wed Jan 26 14:59:26 2022 (703 ms) | general |    960 x 720

L5 | Wed Jan 26 14:59:26 2022 (703 ms) | general |    960 x 600

L5 | Wed Jan 26 14:59:26 2022 (703 ms) | general |    960 x 540

L4 | Wed Jan 26 14:59:26 2022 (704 ms) | general |    ^^^^ this mode matches current aspect ratio
L5 | Wed Jan 26 14:59:26 2022 (704 ms) | general |    928 x 696

